ID,Edad,Género,Ingresos,Compra
1,74,Female,137886,false
2,52,Male,69234,false
3,66,Male,65247,false
4,47,Female,149546,false
5,50,Male,111593,false
6,50,Male,129395,false
7,34,Male,122515,false
8,37,Female,57083,false
9,43,Female,22383,false
10,67,Female,161573,false
11,71,Male,45881,true
12,24,Male,168233,true
13,55,Male,118176,false
14,62,Female,142627,true
15,67,Female,165265,true
16,52,Male,42674,true
17,65,Female,125939,true
18,63,Male,135431,false
19,33,Male,188152,false
20,54,Female,150666,false
21,67,Male,46131,true
22,54,Female,184025,true
23,43,Male,154971,false
24,60,Male,38622,false
25,57,Female,92573,false
26,23,Female,198261,true
27,51,Female,45768,false
28,44,Male,57073,false
29,21,Male,42407,true
30,33,Female,147426,false
31,52,Female,76668,true
32,57,Female,148336,false
33,62,Female,172431,true
34,38,Female,50381,false
35,39,Female,100669,true
36,35,Female,168593,true
37,60,Female,185505,false
38,38,Male,41859,true
39,72,Male,23031,false
40,22,Male,178794,true
41,61,Female,116125,true
42,53,Female,196588,true
43,25,Male,22983,false
44,32,Male,97604,false
45,66,Female,40074,true
46,79,Male,48057,true
47,28,Male,76687,false
48,55,Male,35558,false
49,25,Female,37296,false
50,25,Male,147438,false
51,41,Male,79475,false
52,46,Female,79562,true
53,77,Male,92064,false
54,22,Female,69107,false
55,41,Female,150301,false
56,22,Female,171729,false
57,60,Female,97868,true
58,79,Female,41042,true
59,20,Male,183534,false
60,48,Male,185066,false
61,70,Female,122797,true
62,73,Female,54726,false
63,31,Male,190584,false
64,61,Male,139815,false
65,36,Male,29199,true
66,40,Male,53822,true
67,63,Female,37339,false
68,65,Male,97111,false
69,18,Female,154366,true
70,56,Female,113873,false
71,66,Female,92144,false
72,71,Female,124718,false
73,72,Male,33031,false
74,53,Male,24217,false
75,31,Female,88653,true
76,33,Female,143471,false
77,79,Female,27212,false
78,19,Female,75064,false
79,52,Female,89274,false
80,20,Male,97437,true
81,23,Female,189884,true
82,76,Male,131235,true
83,25,Female,88148,true
84,61,Female,106168,true
85,62,Female,103113,false
86,45,Male,143036,false
87,23,Male,32748,true
88,70,Male,187724,false
89,72,Female,187519,false
90,50,Female,146929,false
91,45,Female,67723,true
92,44,Female,43264,false
93,23,Female,67870,false
94,55,Male,188388,false
95,51,Female,78014,true
96,26,Male,71751,false
97,21,Female,22698,false
98,32,Female,148240,true
99,74,Female,199694,false
100,50,Male,33324,false
101,78,Female,181869,false
102,78,Female,47993,false
103,77,Female,139288,false
104,62,Male,21827,true
105,51,Female,20757,false
106,52,Male,188331,false
107,33,Female,117063,false
108,22,Male,183966,false
109,31,Female,96011,false
110,41,Female,182822,false
111,60,Male,158841,false
112,37,Male,198245,false
113,43,Female,151365,false
114,60,Female,123232,false
115,42,Female,100635,false
116,65,Male,153900,false
117,55,Male,119445,true
118,34,Male,41440,false
119,40,Male,175542,false
120,48,Male,30963,false
121,18,Female,78913,true
122,25,Female,155363,false
123,30,Male,74109,false
124,60,Male,142375,true
125,40,Female,160854,true
126,45,Male,114078,true
127,77,Male,111415,false
128,52,Male,77641,false
129,74,Female,94075,true
130,39,Female,74960,false
131,23,Female,89723,false
132,79,Female,152583,false
133,59,Female,199943,false
134,44,Female,151788,false
135,20,Male,26259,false
136,59,Female,150509,false
137,48,Female,150910,false
138,25,Male,120248,true
139,35,Female,106712,true
140,46,Male,187616,true
141,20,Male,78523,true
142,27,Female,130964,false
143,39,Female,24818,false
144,70,Female,20190,false
145,76,Female,95655,false
146,41,Female,25655,false
147,62,Female,179216,false
148,40,Female,121710,true
149,23,Male,109218,false
150,79,Male,170145,false
151,57,Male,70835,false
152,52,Male,188830,false
153,23,Female,44043,false
154,62,Male,116386,false
155,80,Male,59129,false
156,56,Male,66679,false
157,54,Male,78395,false
158,73,Female,85248,false
159,43,Male,46585,false
160,33,Female,118650,false
161,19,Female,82863,false
162,40,Female,86940,false
163,76,Male,87949,false
164,47,Male,147000,false
165,71,Male,80890,false
166,48,Male,30115,false
167,79,Male,59163,false
168,23,Male,189198,false
169,24,Female,122086,false
170,36,Male,63133,false
171,29,Female,193955,true
172,46,Female,175455,false
173,35,Female,79868,false
174,47,Female,29283,false
175,61,Male,190165,true
176,62,Female,149827,true
177,74,Male,172392,false
178,38,Female,59099,false
179,46,Female,188557,false
180,44,Male,98135,false
181,57,Male,137112,true
182,30,Male,47666,true
183,50,Male,20491,false
184,57,Female,145371,false
185,60,Male,128192,true
186,57,Female,141696,false
187,77,Male,142484,true
188,68,Male,58301,false
189,80,Male,194438,false
190,71,Female,147668,true
191,21,Male,26570,false
192,72,Male,85354,true
193,68,Female,101336,false
194,33,Male,32083,true
195,70,Female,148383,false
196,61,Male,185813,false
197,70,Male,80398,true
198,51,Male,197720,false
199,21,Male,110046,false
200,76,Male,115597,true
201,67,Male,129356,true
202,32,Male,164562,false
203,48,Female,139670,false
204,61,Male,148800,false
205,31,Male,66356,false
206,57,Male,77831,false
207,73,Female,143435,false
208,64,Female,165861,false
209,22,Male,178259,true
210,32,Male,25818,false
211,38,Male,168478,false
212,78,Male,111912,false
213,20,Male,185966,true
214,26,Female,36352,false
215,38,Male,89084,true
216,44,Female,43493,false
217,72,Male,183970,false
218,74,Male,142144,false
219,38,Female,159781,false
220,42,Female,97769,true
221,66,Male,75122,false
222,57,Male,44069,false
223,61,Male,169626,true
224,55,Male,114687,false
225,73,Male,64942,false
226,64,Female,186086,false
227,57,Female,63394,false
228,74,Male,158648,false
229,41,Male,139481,false
230,56,Female,100521,true
231,35,Male,187953,false
232,52,Female,143567,false
233,28,Male,24090,false
234,36,Female,148849,false
235,56,Female,166839,true
236,34,Male,54533,false
237,67,Female,82664,false
238,60,Male,168703,false
239,33,Male,119651,false
240,34,Female,59510,true
241,58,Male,129735,false
242,36,Female,131500,false
243,64,Male,56640,true
244,23,Male,27540,false
245,80,Male,30965,false
246,57,Male,187967,true
247,45,Female,103786,false
248,38,Male,99524,false
249,29,Female,28007,false
250,48,Male,82171,false
